Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.009204MB; Peak was 0.01294MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.009204MB; Peak was 0.01294MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.009037MB; Peak was 0.012845MB
Current memory usage is 0.00904MB; Peak was 0.012777MB
Current memory usage is 0.009055MB; Peak was 0.012802MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.009204MB; Peak was 0.01294MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008976MB; Peak was 0.012712MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008976MB; Peak was 0.012712MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.009204MB; Peak was 0.01294MB
Current memory usage is 0.009424MB; Peak was 0.01316MB
Current memory usage is 0.009394MB; Peak was 0.01313MB
Current memory usage is 0.009394MB; Peak was 0.01313MB
Current memory usage is 0.008944MB; Peak was 0.01268MB
Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.008944MB; Peak was 0.01268MB
